  Cast, Station,Local_Date,Local_time, Latitude, Longitude,Bottle_Num,   depth,    temp,salinity,sigma_t,  CTD_O2,OneHundredPercentO2_sat,percent_O2_sat,fluorescence_chla,transmissometry,      TA,     DIC,pH_primary,Particulate_Filtered_MnOx,Dissolved_Filtered_Mn2plus,Dissolved_Filtered_Mn2plus_stdev,Dissolved_Filtered_Mn3plus_mean,Dissolved_Filtered_Mn3plus_stdev,Dissolved_Filtered_MnT_mean,Dissolved_Filtered_MnT_stdev,Dissolved_Filtered_H2Splus_Hsminus,Dissolved_Filtered_H2Splus_Hsminus_stdev,Dissolved_Filtered_Fe2plus,Dissolved_Filtered_Fe2plus_stdev,Total_UnFiltered_Fe2plus,Total_UnFiltered_Fe2plus_stdev,Dissolved_Filtered_Fe3plus,Dissolved_Filtered_Fe3plus_stdev,Total_UnFiltered_Fe3plus,Total_UnFiltered_Fe3plus_stdev,pH_secondary,Nanoparticulate_Dissolved_Filtered_S0,Dissolved_Particulate_S0,Total_S0_Filtered_plus_Particulate
 CTD_8,    St_7,  20130809,      1410,38.975667,-76.368500,        N1,  22.292, 25.3051, 18.8198,-9999.0,  45.352,                 230.05,        19.714,           0.1520,         2.4618, -9999.0, -9999.0,   -9999.0,                     0.77,                   -9999.0,                         -9999.0,                        -9999.0,                         -9999.0,                    -9999.0,                     -9999.0,                           -9999.0,                                 -9999.0,                     0.956,                         -9999.0,                   2.426,                       -9999.0,                     0.187,                         -9999.0,                   0.487,                       -9999.0,     -9999.0,                              -9999.0,                 -9999.0,                           -9999.0
 CTD_8,    St_7,  20130809,      1410,38.975667,-76.368500,        N2,  22.295, 25.3052, 18.8180,-9999.0,  45.337,                 230.05,        19.707,           0.1531,         2.4658,  1845.5,  1858.0,     7.317,                  -9999.0,                   -9999.0,                         -9999.0,                        -9999.0,                         -9999.0,                    -9999.0,                     -9999.0,                           -9999.0,                                 -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,     -9999.0,                              -9999.0,                 -9999.0,                           -9999.0
 CTD_8,    St_7,  20130809,      1410,38.975667,-76.368500,       N11,  16.073, 25.1329, 13.1458,-9999.0,  89.773,                 238.32,        37.669,           0.2117,         2.4985, -9999.0, -9999.0,   -9999.0,                     7.59,                   -9999.0,                         -9999.0,                        -9999.0,                         -9999.0,                    -9999.0,                     -9999.0,                           -9999.0,                                 -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,     -9999.0,                              -9999.0,                 -9999.0,                           -9999.0
 CTD_8,    St_7,  20130809,      1410,38.975667,-76.368500,        N4,  16.055, 25.1308, 13.1240,-9999.0,  90.062,                 238.36,        37.784,           0.2125,         2.5031,  1818.9,  1830.4,     7.324,                  -9999.0,                   -9999.0,                         -9999.0,                        -9999.0,                         -9999.0,                    -9999.0,                     -9999.0,                           -9999.0,                                 -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,     -9999.0,                              -9999.0,                 -9999.0,                           -9999.0
 CTD_8,    St_7,  20130809,      1410,38.975667,-76.368500,        N5,  11.931, 25.1995, 10.1306,-9999.0, 202.932,                 242.15,        83.804,           0.3350,         2.6166, -9999.0, -9999.0,   -9999.0,                     3.47,                   -9999.0,                         -9999.0,                        -9999.0,                         -9999.0,                    -9999.0,                     -9999.0,                           -9999.0,                                 -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,     -9999.0,                              -9999.0,                 -9999.0,                           -9999.0
 CTD_8,    St_7,  20130809,      1410,38.975667,-76.368500,        N6,  11.928, 25.1766, 10.1426,-9999.0, 194.463,                 242.23,        80.279,           0.3470,         2.6168,  1628.9,  1611.6,     7.452,                  -9999.0,                   -9999.0,                         -9999.0,                        -9999.0,                         -9999.0,                    -9999.0,                     -9999.0,                           -9999.0,                                 -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,     -9999.0,                              -9999.0,                 -9999.0,                           -9999.0
 CTD_8,    St_7,  20130809,      1410,38.975667,-76.368500,        N7,   9.147, 25.4635,  9.9755,-9999.0, 234.828,                 241.21,        97.353,           0.4696,         2.4059, -9999.0, -9999.0,   -9999.0,                     1.21,                   -9999.0,                         -9999.0,                        -9999.0,                         -9999.0,                    -9999.0,                     -9999.0,                           -9999.0,                                 -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,     -9999.0,                              -9999.0,                 -9999.0,                           -9999.0
 CTD_8,    St_7,  20130809,      1410,38.975667,-76.368500,        N8,   9.146, 25.4678,  9.9881,-9999.0, 237.798,                 241.18,        98.599,           0.4747,         2.4184,  1509.6,  1423.5,     8.038,                  -9999.0,                   -9999.0,                         -9999.0,                        -9999.0,                         -9999.0,                    -9999.0,                     -9999.0,                           -9999.0,                                 -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,     -9999.0,                              -9999.0,                 -9999.0,                           -9999.0
 CTD_8,    St_7,  20130809,      1410,38.975667,-76.368500,        N9,   5.077, 25.7226,  9.7698,-9999.0, 262.533,                 240.37,       109.218,           0.5978,         2.0899, -9999.0, -9999.0,   -9999.0,                     1.07,                   -9999.0,                         -9999.0,                        -9999.0,                         -9999.0,                    -9999.0,                     -9999.0,                           -9999.0,                                 -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,     -9999.0,                              -9999.0,                 -9999.0,                           -9999.0
 CTD_8,    St_7,  20130809,      1410,38.975667,-76.368500,       N10,   5.078, 25.7195,  9.7696,-9999.0, 261.219,                 240.39,       108.666,           0.6038,         2.0855,  1486.3,  1375.0,     7.855,                  -9999.0,                   -9999.0,                         -9999.0,                        -9999.0,                         -9999.0,                    -9999.0,                     -9999.0,                           -9999.0,                                 -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,     -9999.0,                              -9999.0,                 -9999.0,                           -9999.0
 CTD_8,    St_7,  20130809,      1410,38.975667,-76.368500,        N3,   2.016, 26.3969,  9.8530,-9999.0, 301.111,                 237.39,       126.843,           0.9678,         1.5313, -9999.0, -9999.0,   -9999.0,                     1.03,                   -9999.0,                         -9999.0,                        -9999.0,                         -9999.0,                    -9999.0,                     -9999.0,                           -9999.0,                                 -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,     -9999.0,                              -9999.0,                 -9999.0,                           -9999.0
 CTD_8,    St_7,  20130809,      1410,38.975667,-76.368500,       N12,   2.043, 26.4125,  9.8359,-9999.0, 302.662,                 237.35,       127.519,           0.9753,         1.5331,  1482.1,  1365.1,     8.104,                  -9999.0,                   -9999.0,                         -9999.0,                        -9999.0,                         -9999.0,                    -9999.0,                     -9999.0,                           -9999.0,                                 -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,                   -9999.0,                         -9999.0,                 -9999.0,                       -9999.0,     -9999.0,                              -9999.0,                 -9999.0,                           -9999.0
