MiniDOT Logger Concatenated Data File
Sensor:             7450-967073
Concatenation Date: 2018Jul11 18:45:00 UTC

DO concentration compensated for salinity: 0.5 (ppt)
Saturation computed at elevation: 103.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,    Coordinated Universal Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1530810900,           2018-07-05 17:15:00,           2018-07-05 17:15:00,      3.400000,     24.076000,          8.251405,                    99.691947,      0.994000
                1530811500,           2018-07-05 17:25:00,           2018-07-05 17:25:00,      3.430000,     24.521000,          8.194642,                    99.829607,      0.995000
                1530812100,           2018-07-05 17:35:00,           2018-07-05 17:35:00,      3.450000,     24.765000,          8.139838,                    99.611131,      0.995000
                1530812700,           2018-07-05 17:45:00,           2018-07-05 17:45:00,      3.460000,     24.143000,          8.203553,                    99.237827,      0.994000
                1530813300,           2018-07-05 17:55:00,           2018-07-05 17:55:00,      3.470000,     23.783000,          8.258335,                    99.230124,      0.994000
                1530813900,           2018-07-05 18:05:00,           2018-07-05 18:05:00,      3.480000,     23.623000,          8.267282,                    99.039675,      0.993000
                1530814500,           2018-07-05 18:15:00,           2018-07-05 18:15:00,      3.480000,     23.514000,          8.275240,                    98.931953,      1.000000
                1530815100,           2018-07-05 18:25:00,           2018-07-05 18:25:00,      3.490000,     23.230000,          8.323053,                    98.971867,      1.000000
                1530815700,           2018-07-05 18:35:00,           2018-07-05 18:35:00,      3.490000,     24.479000,          8.079962,                    98.355843,      0.999000
                1530816300,           2018-07-05 18:45:00,           2018-07-05 18:45:00,      3.490000,     28.277000,          7.548043,                    98.414865,      1.001000
                1530816900,           2018-07-05 18:55:00,           2018-07-05 18:55:00,      3.500000,     28.858000,          7.552115,                    99.478573,      1.002000
                1530817500,           2018-07-05 19:05:00,           2018-07-05 19:05:00,      3.500000,     26.518000,          7.886835,                    99.655350,      1.002000
                1530818100,           2018-07-05 19:15:00,           2018-07-05 19:15:00,      3.510000,     24.790000,          8.136851,                    99.620603,      1.001000
                1530818700,           2018-07-05 19:25:00,           2018-07-05 19:25:00,      3.510000,     23.330000,          4.545930,                    54.159206,      1.000000
                1530819300,           2018-07-05 19:35:00,           2018-07-05 19:35:00,      3.510000,     22.443000,          4.012389,                    47.003750,      1.002000
                1530819900,           2018-07-05 19:45:00,           2018-07-05 19:45:00,      3.510000,     22.317000,          3.717233,                    43.441172,      1.002000
                1530820500,           2018-07-05 19:55:00,           2018-07-05 19:55:00,      3.510000,     22.317000,          4.001410,                    46.762185,      1.002000
                1530821100,           2018-07-05 20:05:00,           2018-07-05 20:05:00,      3.520000,     22.267000,          4.018357,                    46.915235,      1.002000
                1530821700,           2018-07-05 20:15:00,           2018-07-05 20:15:00,      3.520000,     22.234000,          3.983455,                    46.478316,      1.002000
                1530822300,           2018-07-05 20:25:00,           2018-07-05 20:25:00,      3.520000,     22.309000,          4.243708,                    49.586172,      1.002000
                1530822900,           2018-07-05 20:35:00,           2018-07-05 20:35:00,      3.520000,     22.292000,          4.238721,                    49.511762,      1.003000
                1530823500,           2018-07-05 20:45:00,           2018-07-05 20:45:00,      3.520000,     22.301000,          3.811958,                    44.534501,      1.002000
                1530824100,           2018-07-05 20:55:00,           2018-07-05 20:55:00,      3.520000,     22.225000,          3.606547,                    42.073342,      1.002000
                1530824700,           2018-07-05 21:05:00,           2018-07-05 21:05:00,      3.520000,     22.276000,          3.568660,                    41.672120,      1.002000
                1530825300,           2018-07-05 21:15:00,           2018-07-05 21:15:00,      3.520000,     22.284000,          3.551710,                    41.480550,      1.002000
                1530825900,           2018-07-05 21:25:00,           2018-07-05 21:25:00,      3.520000,     22.234000,          3.364250,                    39.253526,      1.002000
                1530826500,           2018-07-05 21:35:00,           2018-07-05 21:35:00,      3.520000,     22.292000,          3.607549,                    42.139157,      1.002000
                1530827100,           2018-07-05 21:45:00,           2018-07-05 21:45:00,      3.520000,     22.259000,          3.220668,                    37.596261,      1.003000
                1530827700,           2018-07-05 21:55:00,           2018-07-05 21:55:00,      3.520000,     22.209000,          3.343309,                    38.990476,      1.002000
                1530828300,           2018-07-05 22:05:00,           2018-07-05 22:05:00,      3.520000,     22.234000,          2.677241,                    31.237616,      1.003000
                1530828900,           2018-07-05 22:15:00,           2018-07-05 22:15:00,      3.520000,     22.150000,          2.541629,                    29.607530,      1.003000
                1530829500,           2018-07-05 22:25:00,           2018-07-05 22:25:00,      3.530000,     22.159000,          2.727092,                    31.773485,      1.003000
                1530830100,           2018-07-05 22:35:00,           2018-07-05 22:35:00,      3.530000,     22.234000,          3.467949,                    40.463475,      1.002000
                1530830700,           2018-07-05 22:45:00,           2018-07-05 22:45:00,      3.530000,     22.225000,          3.317385,                    38.700030,      1.002000
                1530831300,           2018-07-05 22:55:00,           2018-07-05 22:55:00,      3.530000,     22.225000,          3.459972,                    40.363422,      1.002000
                1530831900,           2018-07-05 23:05:00,           2018-07-05 23:05:00,      3.530000,     22.192000,          3.322368,                    38.733619,      1.002000
                1530832500,           2018-07-05 23:15:00,           2018-07-05 23:15:00,      3.530000,     22.175000,          2.163726,                    25.217433,      1.003000
                1530833100,           2018-07-05 23:25:00,           2018-07-05 23:25:00,      3.530000,     22.234000,          2.057038,                    24.001193,      1.003000
                1530833700,           2018-07-05 23:35:00,           2018-07-05 23:35:00,      3.530000,     22.184000,          2.271415,                    26.477075,      1.003000
                1530834300,           2018-07-05 23:45:00,           2018-07-05 23:45:00,      3.530000,     22.159000,          2.817829,                    32.830665,      1.003000
                1530834900,           2018-07-05 23:55:00,           2018-07-05 23:55:00,      3.530000,     22.167000,          3.029216,                    35.298976,      1.002000
                1530835500,           2018-07-06 00:05:00,           2018-07-06 00:05:00,      3.530000,     22.175000,          3.006283,                    35.037124,      1.002000
                1530836100,           2018-07-06 00:15:00,           2018-07-06 00:15:00,      3.530000,     22.242000,          2.897603,                    33.813953,      1.003000
                1530836700,           2018-07-06 00:25:00,           2018-07-06 00:25:00,      3.530000,     22.133000,          3.082061,                    35.891310,      1.002000
                1530837300,           2018-07-06 00:35:00,           2018-07-06 00:35:00,      3.530000,     22.142000,          3.192740,                    37.186631,      1.002000
                1530837900,           2018-07-06 00:45:00,           2018-07-06 00:45:00,      3.530000,     22.133000,          3.162827,                    36.831846,      1.002000
                1530838500,           2018-07-06 00:55:00,           2018-07-06 00:55:00,      3.530000,     22.159000,          2.956427,                    34.445478,      1.003000
                1530839100,           2018-07-06 01:05:00,           2018-07-06 01:05:00,      3.530000,     22.108000,          3.007276,                    35.003600,      1.003000
                1530839700,           2018-07-06 01:15:00,           2018-07-06 01:15:00,      3.530000,     22.108000,          2.752017,                    32.032472,      1.003000
                1530840300,           2018-07-06 01:25:00,           2018-07-06 01:25:00,      3.530000,     22.150000,          2.269419,                    26.436539,      1.003000
                1530840900,           2018-07-06 01:35:00,           2018-07-06 01:35:00,      3.530000,     22.092000,          2.578519,                    30.003791,      1.003000
                1530841500,           2018-07-06 01:45:00,           2018-07-06 01:45:00,      3.530000,     22.025000,          2.107881,                    24.495828,      1.003000
                1530842100,           2018-07-06 01:55:00,           2018-07-06 01:55:00,      3.530000,     22.067000,          2.253461,                    26.208791,      1.003000
                1530842700,           2018-07-06 02:05:00,           2018-07-06 02:05:00,      3.530000,     22.075000,          2.865685,                    33.334368,      1.003000
