/* DATA DESCRIPTION:
Citation:	Barrett, Pamela M; Neumann, Rebecca B; Gawel, James E (2017): Water temperature, oxygen and aqueous arsenic content in urban lakes in the Puget Sound lowland from September 2015 to August 2016. PANGAEA, https://doi.org/10.1594/PANGAEA.884326, 
	In supplement to: Barrett, Pamela M; Hull, Erin A; King, C E; Burkart, Kenneth; Ott, K A; Ryan, J N; Gawel, James E; Neumann, Rebecca B (2018): Increased exposure of plankton to arsenic in contaminated weakly-stratified lakes. Science of the Total Environment, 625, 1606-1614, https://doi.org/10.1016/j.scitotenv.2017.12.336
Coverage:	MEDIAN LATITUDE: 47.336605 * MEDIAN LONGITUDE: -122.292425 * SOUTH-BOUND LATITUDE: 47.285400 * WEST-BOUND LONGITUDE: -122.302200 * NORTH-BOUND LATITUDE: 47.427540 * EAST-BOUND LONGITUDE: -122.287140
	DATE/TIME START: 2015-09-01T00:00:00 * DATE/TIME END: 2016-08-30T00:00:00
	MINIMUM DEPTH, water: 0.5 m * MAXIMUM DEPTH, water: 13.5 m
Event(s):	Angle_Lake * LATITUDE: 47.427540 * LONGITUDE: -122.287140 * LOCATION: United States * DEVICE: Multiple investigations (MULT)
	Lake_Killarney * LATITUDE: 47.285400 * LONGITUDE: -122.292080 * LOCATION: United States * DEVICE: Multiple investigations (MULT)
	North_Lake * LATITUDE: 47.306260 * LONGITUDE: -122.288280 * LOCATION: United States * DEVICE: Multiple investigations (MULT)
	Steel_Lake * LATITUDE: 47.327220 * LONGITUDE: -122.302200 * LOCATION: United States * DEVICE: Multiple investigations (MULT)
Parameter(s):	Event label (Event) * PI: Barrett, Pamela M (https://orcid.org/0000-0003-3405-5328, barrettp@uw.edu)
	Latitude of event (Latitude) * PI: Barrett, Pamela M (https://orcid.org/0000-0003-3405-5328, barrettp@uw.edu)
	Longitude of event (Longitude) * PI: Barrett, Pamela M (https://orcid.org/0000-0003-3405-5328, barrettp@uw.edu)
	DATE/TIME (Date/Time) * GEOCODE * PI: Barrett, Pamela M (https://orcid.org/0000-0003-3405-5328, barrettp@uw.edu)
	DEPTH, water [m] (Depth water) * GEOCODE * PI: Barrett, Pamela M (https://orcid.org/0000-0003-3405-5328, barrettp@uw.edu)
	Temperature, water [°C] (Temp) * PI: Barrett, Pamela M (https://orcid.org/0000-0003-3405-5328, barrettp@uw.edu)
	Oxygen [µmol/l] (O2) * PI: Barrett, Pamela M (https://orcid.org/0000-0003-3405-5328, barrettp@uw.edu) * COMMENT: originally given in mg/l and recalculated by multiplying by 31.25
	Arsenic [µg/l] (As) * PI: Barrett, Pamela M (https://orcid.org/0000-0003-3405-5328, barrettp@uw.edu) * METHOD: ICP-MS, Agilent 7900
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	888 data points
*/
Event	Latitude	Longitude	Date/Time	Depth water [m]	Temp [°C]	O2 [µmol/l]	As [µg/l]
Angle_Lake	47.4275	-122.2871	2015-09-03	0.5	20.4	253.12	4.4
Angle_Lake	47.4275	-122.2871	2015-09-03	5.5	20.4	253.12	4.5
Angle_Lake	47.4275	-122.2871	2015-09-03	10.5	12.4	15.62	2.4
Angle_Lake	47.4275	-122.2871	2015-09-03	13.0	8.9	6.25	46.3
Angle_Lake	47.4275	-122.2871	2015-09-18	0.5	19.2	250.00	3.8
Angle_Lake	47.4275	-122.2871	2015-09-18	5.5	19.1	268.75	3.9
Angle_Lake	47.4275	-122.2871	2015-09-18	10.5	12.9	18.75	1.4
Angle_Lake	47.4275	-122.2871	2015-09-18	13.0	9.1	6.25	20.6
Angle_Lake	47.4275	-122.2871	2015-10-14	0.5	16.4	271.88	3.8
Angle_Lake	47.4275	-122.2871	2015-10-14	5.5	16.5	271.88	3.8
Angle_Lake	47.4275	-122.2871	2015-10-14	10.5	16.1	65.62	4.9
Angle_Lake	47.4275	-122.2871	2015-10-14	13.0	9.4	6.25	56.3
Angle_Lake	47.4275	-122.2871	2015-10-23	0.5	15.7	278.12	3.4
Angle_Lake	47.4275	-122.2871	2015-10-23	5.5	15.7	275.00	3.5
Angle_Lake	47.4275	-122.2871	2015-10-23	10.5	15.7	271.88	3.4
Angle_Lake	47.4275	-122.2871	2015-10-23	13.0	9.6	9.38	21.0
Angle_Lake	47.4275	-122.2871	2015-11-06	0.5	13.3	278.12	3.1
Angle_Lake	47.4275	-122.2871	2015-11-06	5.5	13.1	275.00	2.6
Angle_Lake	47.4275	-122.2871	2015-11-06	10.5	13.1	265.62	2.8
Angle_Lake	47.4275	-122.2871	2015-11-06	13.0	10.1	9.38	1.7
Angle_Lake	47.4275	-122.2871	2015-12-04	0.5	8.1	312.50	1.4
Angle_Lake	47.4275	-122.2871	2015-12-04	5.5	7.7	312.50	1.3
Angle_Lake	47.4275	-122.2871	2015-12-04	10.5	7.6	312.50	1.2
Angle_Lake	47.4275	-122.2871	2015-12-04	13.5	7.6	312.50	1.3
Angle_Lake	47.4275	-122.2871	2016-01-06	0.5	5.0	356.25	1.2
Angle_Lake	47.4275	-122.2871	2016-01-06	5.5	4.8	356.25	1.3
Angle_Lake	47.4275	-122.2871	2016-01-06	10.5	4.8	359.38	1.4
Angle_Lake	47.4275	-122.2871	2016-01-06	13.0	4.8	356.25	1.3
Angle_Lake	47.4275	-122.2871	2016-02-01	0.5	5.9	368.75	1.8
Angle_Lake	47.4275	-122.2871	2016-02-01	5.5	5.8	365.62	1.6
Angle_Lake	47.4275	-122.2871	2016-02-01	10.5	5.7	362.50	1.6
Angle_Lake	47.4275	-122.2871	2016-02-01	13.0	5.7	359.38	1.6
Angle_Lake	47.4275	-122.2871	2016-03-02	0.5	8.5	365.62	1.6
Angle_Lake	47.4275	-122.2871	2016-03-02	5.5	8.0	365.62	1.5
Angle_Lake	47.4275	-122.2871	2016-03-02	10.5	7.5	334.38	1.5
Angle_Lake	47.4275	-122.2871	2016-03-02	13.0	7.1	321.88	1.6
Angle_Lake	47.4275	-122.2871	2016-04-06	0.5	12.9	365.62	1.5
Angle_Lake	47.4275	-122.2871	2016-04-06	5.5	11.5	368.75	1.4
Angle_Lake	47.4275	-122.2871	2016-04-06	10.5	9.5	281.25	1.6
Angle_Lake	47.4275	-122.2871	2016-04-06	13.0	8.8	246.88	1.7
Angle_Lake	47.4275	-122.2871	2016-04-20	0.5	18.2	334.38	1.8
Angle_Lake	47.4275	-122.2871	2016-04-20	5.5	13.0	393.75	1.5
Angle_Lake	47.4275	-122.2871	2016-04-20	10.5	9.5	231.25	1.5
Angle_Lake	47.4275	-122.2871	2016-04-20	13.0	8.7	184.38	1.7
Angle_Lake	47.4275	-122.2871	2016-05-04	0.5	17.8	303.12	1.7
Angle_Lake	47.4275	-122.2871	2016-05-04	5.5	14.2	356.25	1.4
Angle_Lake	47.4275	-122.2871	2016-05-04	10.5	9.9	156.25	1.6
Angle_Lake	47.4275	-122.2871	2016-05-04	13.0	8.8	100.00	2.5
Angle_Lake	47.4275	-122.2871	2016-05-18	0.5	18.9	325.00	0.9
Angle_Lake	47.4275	-122.2871	2016-05-18	5.5	16.3	350.00	1.1
