Sensor,x_pos,y_pos,mab,Day C10_PDT dev.,Day C16_PDT dev.,Day C19_PDT dev.,Day C1_PDT dev.,Day C20_PDT dev.,Day C2_PDT dev.,Day P11_PDT dev.,Day P12_PDT dev.,Day P13_PDT dev.,Day P14_PDT dev.,Day P15_PDT dev.,Day P17_PDT dev.,Day P18_PDT dev.,Day P3_PDT dev.,Day P4_PDT dev.,Day P5_PDT dev.,Day P6_PDT dev.,Day P7_PDT dev.,Day P8_PDT dev.,Day P9_PDT dev.,Day nan dev.,Day C10_PDT pumping,Day C16_PDT pumping,Day C19_PDT pumping,Day C1_PDT pumping,Day C20_PDT pumping,Day C2_PDT pumping,Day P11_PDT pumping,Day P12_PDT pumping,Day P13_PDT pumping,Day P14_PDT pumping,Day P15_PDT pumping,Day P17_PDT pumping,Day P18_PDT pumping,Day P3_PDT pumping,Day P4_PDT pumping,Day P5_PDT pumping,Day P6_PDT pumping,Day P7_PDT pumping,Day P8_PDT pumping,Day P9_PDT pumping,Day nan pumping
005930,-4.330127018922193,2.5000000000000004,0.21,-0.21859468437500032,-1.095674759027778,0.15085546319444448,,-0.23724505729166667,-0.022224652430555207,2.046451325694444,0.5745889892361107,1.3411376163194444,0.23374465659722235,-0.002216705902778054,-0.4024340409722222,1.8916118406250004,2.076521003819444,0.593706667708333,1.0706619864583338,1.5925286697916665,2.0251722659722224,2.247440092708334,3.9243453184027777,,0.0,0.0,0.0,0.0,0.0,0.0,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.19473684210526315,0.18947368421052632,0.19473684210526315,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.19473684210526315,0.0
0900,-4.330127018922192,-2.500000000000002,0.21,,-0.640706222222222,0.06532875937499989,,0.0014663260416666632,,,-0.6568840260416663,-0.18000218541666646,-0.2612124944444447,-0.0720435197916667,-0.3424315295138894,0.2132532177083336,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.19473684210526315,0.18947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0902,4.330127018922194,-2.499999999999999,0.21,,0.5971940635416672,0.0639579027777778,,-0.2626175982638894,,,0.9749564840277777,1.3214788822916665,0.23425574930555543,-0.011755134722222303,-0.020659688888888906,0.022636745138888754,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.19473684210526315,0.18947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035,2.4492935982947064e-16,-2.0,2.665,,0.6277172479166666,-0.5717525059027773,,-0.5090456607638899,,,-0.02008842256944448,0.1602920656249995,0.2964644944444449,-0.25584869340277694,0.21737444930555588,0.08682465972222204,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.19473684210526315,0.18947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1039,1.7320508075688772,1.0000000000000002,2.685,,-0.5498910187499999,0.29715802152777765,,0.11854877881944405,,,-0.43190140798611093,-0.5577218704861102,0.13653330520833296,0.8173185666666662,-0.6095190756944445,0.6675873454861111,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.19473684210526315,0.18947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1041,0.0,8.0,0.21,,0.19915409201388887,-0.25060751979166657,,0.5153135274305551,,,0.15078813888888845,-0.40607953368055566,0.08683410069444461,-1.203937505902778,-0.23111433333333345,0.3462996701388884,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.19473684210526315,0.18947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11F101687,-6.928203230275507,-4.0000000000000036,0.72,-1.8447916666666657,0.09824305555555585,0.5489236111111095,,-0.07163194444444423,-0.2606319444444443,0.7597986111111118,1.171770833333334,0.3159166666666674,-0.09923611111111125,0.1595069444444449,-0.0025416666666650853,0.42224305555555613,-0.06887500000000024,-0.10851388888888873,0.22041666666666673,0.2813541666666661,0.5641180555555562,0.020000000000000018,0.5425277777777775,,0.0,0.0,0.0,0.0,0.0,0.0,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.0
11F101688,-1.7320508075688772,1.0000000000000002,0.21,0.1627291666666665,0.17708333333333354,0.45420833333333416,,-0.20934027777777853,0.1261180555555556,0.27618055555555554,-0.021840277777777403,0.2225000000000001,0.1579513888888899,0.10180555555555494,-0.010569444444443545,0.2607152777777787,0.08079166666666653,-0.08809722222222256,0.036444444444444724,0.2490138888888893,-0.3104166666666663,0.38797222222222266,0.18745138888888901,,0.0,0.0,0.0,0.0,0.0,0.0,0.19148936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,0.19148936170212766,0.0
124537,2.4492935982947064e-16,-2.0,0.21,-0.17164563680555553,0.6123333913194448,-0.275647402777778,,-0.1915725222222222,-0.1596430687500002,0.2515923131944444,-0.7200343020833334,0.07552905486111111,0.572655228125,0.8726176166666667,0.19837418923611128,0.32351062083333315,-0.2431532493055559,0.7314154906249996,0.006345067708333553,-0.3414492982638884,0.19605507881944434,-0.39302532152777814,-0.013650776388888687,,0.0,0.0,0.0,0.0,0.0,0.0,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.19473684210526315,0.18947368421052632,0.19473684210526315,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.19473684210526315,0.0
211994,1.7320508075688772,1.0000000000000002,0.21,-0.42790217847222295,0.04040815833333314,-0.24588763159722227,,0.7961759288194448,-0.07499984444444403,-0.3526945239583324,0.24871365659722175,-0.4462931736111105,-0.45915113437499916,0.2637553260416669,-0.7752702569444436,0.4075362697916664,-0.17690844722222224,0.4813617836805557,-0.1341417798611121,0.1973228104166672,0.5202187184027777,0.3764956895833331,-1.4419172284722215,,0.0,0.0,0.0,0.0,0.0,0.0,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.19473684210526315,0.18947368421052632,0.19473684210526315,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.19473684210526315,0.0
